Main crops, Type of ownership , Macroregions  development regions and counties, Years, MU: Hectares, Valoare
Rapeseed, Total, Mehedinti, Year 2019, Hectares, 6750
Rapeseed, Total, Mehedinti, Year 2020, Hectares, 5712
Rapeseed, Total, Mehedinti, Year 2021, Hectares, 6447
Rapeseed, Total, Mehedinti, Year 2022, Hectares, 6382
Rapeseed, Total, Mehedinti, Year 2023, Hectares, 9532
Rapeseed, Total, Mehedinti, Year 2024, Hectares, 7587
Rapeseed, Total, Maramures, Year 2004, Hectares, 61
Rapeseed, Total, Maramures, Year 2006, Hectares, 4
Rapeseed, Total, Maramures, Year 2007, Hectares, 16
Rapeseed, Total, Maramures, Year 2008, Hectares, 38
Rapeseed, Total, Maramures, Year 2010, Hectares, 2
Rapeseed, Total, Maramures, Year 2011, Hectares, 3
Rapeseed, Total, Maramures, Year 2013, Hectares, 5
Rapeseed, Total, Maramures, Year 2016, Hectares, 1
Rapeseed, Total, Maramures, Year 2017, Hectares, 14
Rapeseed, Total, Maramures, Year 2018, Hectares, 13
Rapeseed, Total, Maramures, Year 2019, Hectares, 11
Rapeseed, Total, Maramures, Year 2023, Hectares, 90
Rapeseed, Total, Maramures, Year 2024, Hectares, 26
Rapeseed, Total, Neamt, Year 1998, Hectares, 103
Rapeseed, Total, Neamt, Year 1999, Hectares, 293
Rapeseed, Total, Neamt, Year 2000, Hectares, 413
Rapeseed, Total, Neamt, Year 2001, Hectares, 327
Rapeseed, Total, Neamt, Year 2002, Hectares, 891
Rapeseed, Total, Neamt, Year 2003, Hectares, 160
Rapeseed, Total, Neamt, Year 2004, Hectares, 379
Rapeseed, Total, Neamt, Year 2005, Hectares, 418
Rapeseed, Total, Neamt, Year 2006, Hectares, 1327
Rapeseed, Total, Neamt, Year 2007, Hectares, 3516
Rapeseed, Total, Neamt, Year 2008, Hectares, 5905
Rapeseed, Total, Neamt, Year 2009, Hectares, 9563
Rapeseed, Total, Neamt, Year 2010, Hectares, 4562
Rapeseed, Total, Neamt, Year 2011, Hectares, 6758
Rapeseed, Total, Neamt, Year 2012, Hectares, 2992
Rapeseed, Total, Neamt, Year 2013, Hectares, 6417
Rapeseed, Total, Neamt, Year 2014, Hectares, 8311
Rapeseed, Total, Neamt, Year 2015, Hectares, 4759
Rapeseed, Total, Neamt, Year 2016, Hectares, 6578
Rapeseed, Total, Neamt, Year 2017, Hectares, 8781
Rapeseed, Total, Neamt, Year 2018, Hectares, 9870
Rapeseed, Total, Neamt, Year 2019, Hectares, 5685
Rapeseed, Total, Neamt, Year 2020, Hectares, 6482
Rapeseed, Total, Neamt, Year 2021, Hectares, 6519
Rapeseed, Total, Neamt, Year 2022, Hectares, 7087
Rapeseed, Total, Neamt, Year 2023, Hectares, 8641
Rapeseed, Total, Neamt, Year 2024, Hectares, 7781
Rapeseed, Total, Olt, Year 1990, Hectares, 1061
Rapeseed, Total, Olt, Year 1991, Hectares, 476
Rapeseed, Total, Olt, Year 1992, Hectares, 130
Rapeseed, Total, Olt, Year 1993, Hectares, 42
Rapeseed, Total, Olt, Year 1994, Hectares, 225
